char,count,code,unicode_hex,name,script,cat,bytes,bidi,combining,eaw,mirrored,simplified,traditional
︀,423406,65024,FE00,VARIATION SELECTOR-1,Inherited,Mn,3,NSM,0,A,0,,
༌,366328,3852,F0C,TIBETAN MARK DELIMITER TSHEG BSTAR,Tibetan,Po,3,L,0,N,0,,
 ,218783,32,20,SPACE,Common,Zs,1,WS,0,Na,0,,
/,205354,47,2F,SOLIDUS,Common,Po,1,CS,0,Na,0,,
်,156794,4154,103A,MYANMAR SIGN ASAT,Myanmar,Mn,3,NSM,9,N,0,,
 ,83798,10,A, CHARACTER TABULATION,Common,Cc,1,B,0,N,0,,
ན,78799,3923,F53,TIBETAN LETTER NA,Tibetan,Lo,3,L,0,N,0,,
ꩫ,75538,43627,AA6B,MYANMAR LETTER KHAMTI NA,Myanmar,Lo,3,L,0,N,0,,
ོ,73828,3964,F7C,TIBETAN VOWEL SIGN O,Tibetan,Mn,3,NSM,130,N,0,,
ི,64355,3954,F72,TIBETAN VOWEL SIGN I,Tibetan,Mn,3,NSM,130,N,0,,
ང,60982,3908,F44,TIBETAN LETTER NGA,Tibetan,Lo,3,L,0,N,0,,
ག,60046,3906,F42,TIBETAN LETTER GA,Tibetan,Lo,3,L,0,N,0,,
ེ,57375,3962,F7A,TIBETAN VOWEL SIGN E,Tibetan,Mn,3,NSM,130,N,0,,
ས,56268,3942,F66,TIBETAN LETTER SA,Tibetan,Lo,3,L,0,N,0,,
း,54253,4152,1038,MYANMAR SIGN VISARGA,Myanmar,Mc,3,L,0,N,0,,
မ,52729,4121,1019,MYANMAR LETTER MA,Myanmar,Lo,3,L,0,N,0,,
ဝ,51968,4125,101D,MYANMAR LETTER WA,Myanmar,Lo,3,L,0,N,0,,
ႈ,51469,4232,1088,MYANMAR SIGN SHAN TONE-3,Myanmar,Mc,3,L,0,N,0,,
ႆ,43405,4230,1086,MYANMAR VOWEL SIGN SHAN FINAL Y,Myanmar,Mn,3,NSM,0,N,0,,
ႛ,42122,4251,109B,MYANMAR SIGN KHAMTI TONE-3,Myanmar,Mc,3,L,0,N,0,,
က,41890,4096,1000,MYANMAR LETTER KA,Myanmar,Lo,3,L,0,N,0,,
ུ,41524,3956,F74,TIBETAN VOWEL SIGN U,Tibetan,Mn,3,NSM,132,N,0,,
ူ,39219,4144,1030,MYANMAR VOWEL SIGN UU,Myanmar,Mn,3,NSM,0,N,0,,
ႃ,38078,4227,1083,MYANMAR VOWEL SIGN SHAN AA,Myanmar,Mc,3,L,0,N,0,,
ႇ,37244,4231,1087,MYANMAR SIGN SHAN TONE-2,Myanmar,Mc,3,L,0,N,0,,
འ,32753,3936,F60,TIBETAN LETTER -A,Tibetan,Lo,3,L,0,N,0,,
ད,32169,3921,F51,TIBETAN LETTER DA,Tibetan,Lo,3,L,0,N,0,,
མ,30991,3928,F58,TIBETAN LETTER MA,Tibetan,Lo,3,L,0,N,0,,
င,30680,4100,1004,MYANMAR LETTER NGA,Myanmar,Lo,3,L,0,N,0,,
ལ,29631,3939,F63,TIBETAN LETTER LA,Tibetan,Lo,3,L,0,N,0,,
တ,27051,4112,1010,MYANMAR LETTER TA,Myanmar,Lo,3,L,0,N,0,,
ီ,26929,4142,102E,MYANMAR VOWEL SIGN II,Myanmar,Mn,3,NSM,0,N,0,,
ཁ,25966,3905,F41,TIBETAN LETTER KHA,Tibetan,Lo,3,L,0,N,0,,
ꩬ,24406,43628,AA6C,MYANMAR LETTER KHAMTI SA,Myanmar,Lo,3,L,0,N,0,,
ဢ,24271,4130,1022,MYANMAR LETTER SHAN A,Myanmar,Lo,3,L,0,N,0,,
ར,23459,3938,F62,TIBETAN LETTER RA,Tibetan,Lo,3,L,0,N,0,,
ཏ,21596,3919,F4F,TIBETAN LETTER TA,Tibetan,Lo,3,L,0,N,0,,
བ,20467,3926,F56,TIBETAN LETTER BA,Tibetan,Lo,3,L,0,N,0,,
ိ,20305,4141,102D,MYANMAR VOWEL SIGN I,Myanmar,Mn,3,NSM,0,N,0,,
ၵ,20103,4213,1075,MYANMAR LETTER SHAN KA,Myanmar,Lo,3,L,0,N,0,,
ပ,19958,4117,1015,MYANMAR LETTER PA,Myanmar,Lo,3,L,0,N,0,,
པ,18916,3924,F54,TIBETAN LETTER PA,Tibetan,Lo,3,L,0,N,0,,
ꩡ,18227,43617,AA61,MYANMAR LETTER KHAMTI CA,Myanmar,Lo,3,L,0,N,0,,
ယ,16699,4122,101A,MYANMAR LETTER YA,Myanmar,Lo,3,L,0,N,0,,
ၢ,16428,4194,1062,MYANMAR VOWEL SIGN SGAW KAREN EU,Myanmar,Mc,3,L,0,N,0,,
ཅ,16251,3909,F45,TIBETAN LETTER CA,Tibetan,Lo,3,L,0,N,0,,
ꩭ,14988,43629,AA6D,MYANMAR LETTER KHAMTI HA,Myanmar,Lo,3,L,0,N,0,,
ေ,13802,4145,1031,MYANMAR VOWEL SIGN E,Myanmar,Mc,3,L,0,N,0,,
ု,13774,4143,102F,MYANMAR VOWEL SIGN U,Myanmar,Mn,3,NSM,0,N,0,,
။,13744,4171,104B,MYANMAR SIGN SECTION,Myanmar,Po,3,L,0,N,0,,
ཡ,13540,3937,F61,TIBETAN LETTER YA,Tibetan,Lo,3,L,0,N,0,,
 ,13248,44,2C, CHARACTER TABULATION,Common,Po,1,CS,0,Na,0,,
ွ,13217,4157,103D,MYANMAR CONSONANT SIGN MEDIAL WA,Myanmar,Mn,3,NSM,0,N,0,,
ྱ,12988,4017,FB1,TIBETAN SUBJOINED LETTER YA,Tibetan,Mn,3,NSM,0,N,0,,
လ,12666,4124,101C,MYANMAR LETTER LA,Myanmar,Lo,3,L,0,N,0,,
ႂ,12659,4226,1082,MYANMAR CONSONANT SIGN SHAN MEDIAL WA,Myanmar,Mn,3,NSM,0,N,0,,
ႉ,12068,4233,1089,MYANMAR SIGN SHAN TONE-5,Myanmar,Mc,3,L,0,N,0,,
།,11648,3853,F0D,TIBETAN MARK SHAD,Tibetan,Po,3,L,0,N,0,,
ཨ,11483,3944,F68,TIBETAN LETTER A,Tibetan,Lo,3,L,0,N,0,,
ၸ,10321,4216,1078,MYANMAR LETTER SHAN CA,Myanmar,Lo,3,L,0,N,0,,
ཞ,10274,3934,F5E,TIBETAN LETTER ZHA,Tibetan,Lo,3,L,0,N,0,,
ཀ,10240,3904,F40,TIBETAN LETTER KA,Tibetan,Lo,3,L,0,N,0,,
ྲ,8729,4018,FB2,TIBETAN SUBJOINED LETTER RA,Tibetan,Mn,3,NSM,0,N,0,,
ཤ,8011,3940,F64,TIBETAN LETTER SHA,Tibetan,Lo,3,L,0,N,0,,
ཆ,6812,3910,F46,TIBETAN LETTER CHA,Tibetan,Lo,3,L,0,N,0,,
ཟ,6670,3935,F5F,TIBETAN LETTER ZA,Tibetan,Lo,3,L,0,N,0,,
ཚ,6076,3930,F5A,TIBETAN LETTER TSHA,Tibetan,Lo,3,L,0,N,0,,
ཕ,6012,3925,F55,TIBETAN LETTER PHA,Tibetan,Lo,3,L,0,N,0,,
"""",5272,34,22,QUOTATION MARK,Common,Po,1,ON,0,Na,0,,
ཉ,5018,3913,F49,TIBETAN LETTER NYA,Tibetan,Lo,3,L,0,N,0,,
ཐ,4927,3920,F50,TIBETAN LETTER THA,Tibetan,Lo,3,L,0,N,0,,
ႅ,4748,4229,1085,MYANMAR VOWEL SIGN SHAN E ABOVE,Myanmar,Mn,3,NSM,0,N,0,,
ြ,4601,4156,103C,MYANMAR CONSONANT SIGN MEDIAL RA,Myanmar,Mc,3,L,0,N,0,,
ྐ,3930,3984,F90,TIBETAN SUBJOINED LETTER KA,Tibetan,Mn,3,NSM,0,N,0,,
ྟ,3562,3999,F9F,TIBETAN SUBJOINED LETTER TA,Tibetan,Mn,3,NSM,0,N,0,,
ཛ,3532,3931,F5B,TIBETAN LETTER DZA,Tibetan,Lo,3,L,0,N,0,,
ཙ,2655,3929,F59,TIBETAN LETTER TSA,Tibetan,Lo,3,L,0,N,0,,
ထ,2584,4113,1011,MYANMAR LETTER THA,Myanmar,Lo,3,L,0,N,0,,
ရ,2463,4123,101B,MYANMAR LETTER RA,Myanmar,Lo,3,L,0,N,0,,
“,2165,8220,201C,LEFT DOUBLE QUOTATION MARK,Common,Pi,3,ON,0,A,0,,
”,2154,8221,201D,RIGHT DOUBLE QUOTATION MARK,Common,Pf,3,ON,0,A,0,,
ཧ,2129,3943,F67,TIBETAN LETTER HA,Tibetan,Lo,3,L,0,N,0,,
၊,2080,4170,104A,MYANMAR SIGN LITTLE SECTION,Myanmar,Po,3,L,0,N,0,,
ཱ,2007,3953,F71,TIBETAN VOWEL SIGN AA,Tibetan,Mn,3,NSM,129,N,0,,
ཇ,1938,3911,F47,TIBETAN LETTER JA,Tibetan,Lo,3,L,0,N,0,,
ျ,1932,4155,103B,MYANMAR CONSONANT SIGN MEDIAL YA,Myanmar,Mc,3,L,0,N,0,,
ꩵ,1905,43637,AA75,MYANMAR LOGOGRAM KHAMTI QN,Myanmar,Lo,3,L,0,N,0,,
ྡ,1860,4001,FA1,TIBETAN SUBJOINED LETTER DA,Tibetan,Mn,3,NSM,0,N,0,,
ྤ,1597,4004,FA4,TIBETAN SUBJOINED LETTER PA,Tibetan,Mn,3,NSM,0,N,0,,
ཝ,1489,3933,F5D,TIBETAN LETTER WA,Tibetan,Lo,3,L,0,N,0,,
ꩰ,1471,43632,AA70,MYANMAR MODIFIER LETTER KHAMTI REDUPLICATION,Myanmar,Lm,3,L,0,N,0,,
?,995,63,3F,QUESTION MARK,Common,Po,1,ON,0,Na,0,,
ႚ,789,4250,109A,MYANMAR SIGN KHAMTI TONE-1,Myanmar,Mc,3,L,0,N,0,,
',771,39,27,APOSTROPHE,Common,Po,1,ON,0,Na,0,,
ྩ,770,4009,FA9,TIBETAN SUBJOINED LETTER TSA,Tibetan,Mn,3,NSM,0,N,0,,
ྔ,629,3988,F94,TIBETAN SUBJOINED LETTER NGA,Tibetan,Mn,3,NSM,0,N,0,,
ྒ,562,3986,F92,TIBETAN SUBJOINED LETTER GA,Tibetan,Mn,3,NSM,0,N,0,,
ꩥ,559,43621,AA65,MYANMAR LETTER KHAMTI NYA,Myanmar,Lo,3,L,0,N,0,,
ꩴ,538,43636,AA74,MYANMAR LOGOGRAM KHAMTI OAY,Myanmar,Lo,3,L,0,N,0,,
ྗ,484,3991,F97,TIBETAN SUBJOINED LETTER JA,Tibetan,Mn,3,NSM,0,N,0,,
ၿ,399,4223,107F,MYANMAR LETTER SHAN BA,Myanmar,Lo,3,L,0,N,0,,
ྙ,367,3993,F99,TIBETAN SUBJOINED LETTER NYA,Tibetan,Mn,3,NSM,0,N,0,,
ྕ,363,3989,F95,TIBETAN SUBJOINED LETTER CA,Tibetan,Mn,3,NSM,0,N,0,,
ႄ,320,4228,1084,MYANMAR VOWEL SIGN SHAN E,Myanmar,Mc,3,L,0,N,0,,
ླ,244,4019,FB3,TIBETAN SUBJOINED LETTER LA,Tibetan,Mn,3,NSM,0,N,0,,
ၻ,224,4219,107B,MYANMAR LETTER SHAN DA,Myanmar,Lo,3,L,0,N,0,,
༽,133,3901,F3D,TIBETAN MARK ANG KHANG GYAS,Tibetan,Pe,3,ON,0,N,1,,
༼,132,3900,F3C,TIBETAN MARK ANG KHANG GYON,Tibetan,Ps,3,ON,0,N,1,,
0,131,48,30,DIGIT ZERO,Common,Nd,1,EN,0,Na,0,,
ྣ,97,4003,FA3,TIBETAN SUBJOINED LETTER NA,Tibetan,Mn,3,NSM,0,N,0,,
ྨ,91,4008,FA8,TIBETAN SUBJOINED LETTER MA,Tibetan,Mn,3,NSM,0,N,0,,
ႊ,60,4234,108A,MYANMAR SIGN SHAN TONE-6,Myanmar,Mc,3,L,0,N,0,,
1,53,49,31,DIGIT ONE,Common,Nd,1,EN,0,Na,0,,
ྦ,45,4006,FA6,TIBETAN SUBJOINED LETTER BA,Tibetan,Mn,3,NSM,0,N,0,,
2,44,50,32,DIGIT TWO,Common,Nd,1,EN,0,Na,0,,
:,43,58,3A,COLON,Common,Po,1,CS,0,Na,0,,
4,42,52,34,DIGIT FOUR,Common,Nd,1,EN,0,Na,0,,
ཊ,40,3914,F4A,TIBETAN LETTER TTA,Tibetan,Lo,3,L,0,N,0,,
ྫ,38,4011,FAB,TIBETAN SUBJOINED LETTER DZA,Tibetan,Mn,3,NSM,0,N,0,,
5,35,53,35,DIGIT FIVE,Common,Nd,1,EN,0,Na,0,,
3,34,51,33,DIGIT THREE,Common,Nd,1,EN,0,Na,0,,
​,31,8203,200B,ZERO WIDTH SPACE,Common,Cf,3,BN,0,N,0,,
!,25,33,21,EXCLAMATION MARK,Common,Po,1,ON,0,Na,0,,
9,21,57,39,DIGIT NINE,Common,Nd,1,EN,0,Na,0,,
6,21,54,36,DIGIT SIX,Common,Nd,1,EN,0,Na,0,,
;,21,59,3B,SEMICOLON,Common,Po,1,ON,0,Na,0,,
7,20,55,37,DIGIT SEVEN,Common,Nd,1,EN,0,Na,0,,
ཾ,20,3966,F7E,TIBETAN SIGN RJES SU NGA RO,Tibetan,Mn,3,NSM,0,N,0,,
8,19,56,38,DIGIT EIGHT,Common,Nd,1,EN,0,Na,0,,
ྷ,18,4023,FB7,TIBETAN SUBJOINED LETTER HA,Tibetan,Mn,3,NSM,0,N,0,,
႐,15,4240,1090,MYANMAR SHAN DIGIT ZERO,Myanmar,Nd,3,L,0,N,0,,
༎,12,3854,F0E,TIBETAN MARK NYIS SHAD,Tibetan,Po,3,L,0,N,0,,
ံ,11,4150,1036,MYANMAR SIGN ANUSVARA,Myanmar,Mn,3,NSM,0,N,0,,
ꩶ,8,43638,AA76,MYANMAR LOGOGRAM KHAMTI HM,Myanmar,Lo,3,L,0,N,0,,
႔,7,4244,1094,MYANMAR SHAN DIGIT FOUR,Myanmar,Nd,3,L,0,N,0,,
႖,6,4246,1096,MYANMAR SHAN DIGIT SIX,Myanmar,Nd,3,L,0,N,0,,
႑,6,4241,1091,MYANMAR SHAN DIGIT ONE,Myanmar,Nd,3,L,0,N,0,,
ႀ,4,4224,1080,MYANMAR LETTER SHAN THA,Myanmar,Lo,3,L,0,N,0,,
႒,4,4242,1092,MYANMAR SHAN DIGIT TWO,Myanmar,Nd,3,L,0,N,0,,
ꩲ,3,43634,AA72,MYANMAR LETTER KHAMTI ZA,Myanmar,Lo,3,L,0,N,0,,
-,3,45,2D,HYPHEN-MINUS,Common,Pd,1,ES,0,Na,0,,
),2,41,29,RIGHT PARENTHESIS,Common,Pe,1,ON,0,Na,1,,
(,1,40,28,LEFT PARENTHESIS,Common,Ps,1,ON,0,Na,1,,
႘,1,4248,1098,MYANMAR SHAN DIGIT EIGHT,Myanmar,Nd,3,L,0,N,0,,
႕,1,4245,1095,MYANMAR SHAN DIGIT FIVE,Myanmar,Nd,3,L,0,N,0,,
႗,1,4247,1097,MYANMAR SHAN DIGIT SEVEN,Myanmar,Nd,3,L,0,N,0,,
ꩱ,1,43633,AA71,MYANMAR LETTER KHAMTI XA,Myanmar,Lo,3,L,0,N,0,,
ྥ,1,4005,FA5,TIBETAN SUBJOINED LETTER PHA,Tibetan,Mn,3,NSM,0,N,0,,
