《,<
》,>
ꀊ,我
ꀋ,的
ꀈ,你
ꀉ,是
ꀠ,了
ꀡ,不
ꀞ,们
ꀟ,这
ꁠ,一
ꁡ,他
ꁟ,么
ꁪ,在
ꁘ,有
ꁙ,个
ꁖ,好
ꁗ,来
ꁧ,人
ꁨ,那
ꁥ,要
ꁦ,会
ꁮ,就
ꁣ,什
ꁤ,没
ꁢ,到
ꁯ,说
ꁱ,吗
ꁰ,为
ꁬ,想
ꁭ,能
ꁴ,上
ꁵ,去
ꁳ,道
ꀘ,她
ꀜ,很
ꀝ,看
ꀛ,可
ꀙ,知
ꀖ,得
ꀧ,过
ꀨ,吧
ꀥ,还
ꀦ,对
ꀮ,里
ꀣ,以
ꀤ,都
ꀯ,事
ꀱ,子
ꀰ,生
ꀬ,时
ꀭ,样
ꀴ,也
ꀵ,和
ꀳ,下
ꊸ,真
ꊷ,现
ꋂ,做
ꋃ,大
ꋁ,啊
ꍣ,怎
ꍤ,出
ꍡ,点
ꍯ,起
ꍰ,天
ꍮ,把
ꍬ,开
ꍩ,让
ꍪ,给
ꍲ,但
ꍧ,谢
ꍨ,着
ꍵ,只
ꍱ,些
ꍸ,如
ꍹ,家
ꍻ,后
ꍺ,儿
ꍶ,多
ꍷ,意
ꊰ,别
ꊴ,所
ꊵ,话
ꊱ,小
ꊮ,自
ꊯ,回
ꊿ,然
ꋀ,果
ꊽ,发
ꊾ,见
ꋆ,心
ꊻ,走
ꊼ,定
ꋇ,听
ꋉ,觉
ꋈ,太
ꋄ,该
ꋅ,当
ꋌ,经
ꋍ,妈
ꋏ,用
ꋎ,打
ꋊ,地
ꋋ,再
ꄉ,因
ꄊ,呢
ꄇ,女
ꄈ,告
ꄿ,最
ꅀ,手
ꄽ,前
ꄾ,找
ꅉ,行
ꅊ,快
ꅈ,而
ꄸ,死
ꄻ,先
ꄺ,像
ꄹ,等
ꄶ,被
ꄷ,从
ꅇ,明
ꅄ,中
ꅅ,哦
ꅍ,情
ꅂ,作
ꅐ,跟
ꅏ,面
ꅋ,诉
ꅌ,爱
ꄒ,已
ꄓ,之
ꄑ,问
ꄂ,错
ꄅ,孩
ꄆ,斯
ꄄ,成
ꄃ,它
ꄀ,感
ꄁ,干
ꄏ,法
ꄐ,电
ꄍ,间
ꄎ,哪
ꄖ,西
ꄌ,己
ꄗ,候
ꄙ,次
ꄘ,信
ꄔ,欢
ꄕ,正
ꀔ,实
ꃓ,关
ꃔ,进
ꃑ,车
ꃒ,年
ꃏ,喜
ꃖ,认
ꃗ,克
ꃕ,爸
ꃚ,谁
ꃛ,方
ꃝ,老
ꃜ,应
ꃘ,比
ꃙ,帮
ꇤ,无
ꇥ,晚
ꇢ,动
ꇣ,头
ꇰ,机
ꇱ,分
ꇮ,特
ꇯ,相
ꈜ,全
ꈝ,杀
ꈚ,需
ꈛ,放
ꈨ,常
ꈩ,直
ꈧ,才
ꈘ,美
ꈙ,于
ꈔ,带
ꈤ,今
ꈥ,力
ꈢ,工
ꈣ,许
ꈬ,东
ꈠ,名
ꈞ,同
ꈭ,长
ꈯ,亲
ꈮ,种
ꈪ,者
ꈫ,嘿
ꇜ,白
ꇠ,学
ꇡ,安
ꇟ,尔
ꇝ,叫
ꇚ,理
ꇛ,本
ꇬ,国
ꇭ,第
ꇪ,友
ꇫ,高
ꇴ,两
ꇨ,保
ꇩ,请
ꇧ,非
ꇵ,重
ꇷ,公
ꇶ,记
ꇲ,身
ꇳ,受
ꉳ,住
ꉴ,活
ꉱ,加
ꉲ,何
ꉾ,伙
ꉿ,题
ꉽ,完
ꉰ,接
ꉮ,拿
ꆠ,望
ꆞ,解
ꆟ,其
ꆪ,离
ꆨ,谈
ꆙ,又
ꆜ,新
ꆚ,更
ꆗ,钱
ꆘ,马
ꆦ,思
ꆧ,部
ꆥ,场
ꆭ,嗯
ꆣ,计
ꆤ,任
ꆮ,确
ꆰ,吃
ꆫ,始
ꆳ,结
ꆴ,利
ꆶ,朋
ꆵ,警
ꆱ,士
ꆲ,外
ꂚ,件
ꂛ,难
ꂘ,位
ꂓ,表
ꂖ,刚
ꂗ,希
ꂔ,查
ꂒ,拉
ꂡ,边
ꂢ,或
ꂟ,将
ꂠ,男
ꂥ,准
ꂦ,变
ꂨ,证
ꂣ,物
ꂤ,员
ꂪ,总
ꂫ,噢
ꂩ,系
ꅲ,几
ꅳ,管
ꅰ,玩
ꅱ,处
ꅺ,办
ꅻ,主
ꅹ,气
ꅪ,每
ꅮ,少
ꅭ,切
ꅫ,失
ꅩ,算
ꅸ,性
ꅶ,此
ꅷ,必
ꅼ,备
ꉻ,合
ꉼ,德
ꉹ,队
ꉺ,试
ꉷ,抱
ꉶ,医
ꉐ,通
ꉑ,体
ꉎ,乐
ꉏ,并
ꉛ,三
ꉜ,早
ꉚ,门
ꉈ,害
ꉌ,歉
ꉊ,选
ꉋ,嗨
ꉉ,房
ꉆ,命
ꉇ,且
ꉘ,向
ꉙ,兴
ꉖ,球
ꉗ,服
ꉔ,入
ꉕ,照
ꉒ,提
ꉓ,掉
ꀂ,夫
ꀆ,路
ꀇ,演
ꀄ,够
ꀅ,日
ꀃ,案
ꀀ,舞
ꀁ,决
ꏢ,求
ꏦ,约
ꏧ,字
ꏤ,呃
ꏥ,肯
ꏣ,目
ꏠ,笑
ꏡ,伤
ꐚ,神
ꐞ,父
ꐟ,指
ꐜ,报
ꐝ,留
ꐛ,水
ꐘ,教
ꐙ,枪
ꐥ,清
ꐦ,色
ꐣ,号
ꐤ,世
ꐩ,远
ꐡ,片
ꐢ,官
ꐠ,口
ꐪ,师
ꐬ,原
ꐫ,酒
ꐧ,周
ꐨ,星
ꐯ,识
ꐰ,赛
ꐭ,救
ꐮ,底
ꏮ,棒
ꏯ,须
ꏬ,收
ꏭ,交
ꏲ,坐
ꏪ,停
ꏨ,卡
ꏩ,尼
ꏵ,婚
ꏱ,格
ꏸ,眼
ꏹ,金
ꏻ,蛋
ꏶ,息
ꏷ,室
ꈁ,内
ꈂ,运
ꇿ,根
ꈀ,单
ꈌ,宝
ꈍ,哥
ꈊ,张
ꈋ,搞
ꇺ,战
ꇽ,火
ꇸ,罗
ꇹ,至
ꈈ,万
ꈉ,声
ꈆ,布
ꈇ,音
ꈐ,期
ꈄ,条
ꈅ,消
ꈃ,买
ꈑ,病
ꈓ,整
ꈒ,奇
ꈎ,弟
ꈏ,犯
ꇁ,装
ꇂ,贝
ꆿ,您
ꇀ,送
ꇌ,怕
ꇍ,护
ꇋ,度
ꆹ,花
ꆽ,节
ꆾ,近
ꆼ,怪
ꆺ,持
ꆷ,光
ꆸ,与
ꇉ,穿
ꇊ,愿
ꇇ,象
ꇈ,影
ꇐ,击
ꇅ,使
ꇆ,二
ꇃ,喝
ꇄ,月
ꇑ,器
ꇓ,察
ꇎ,制
ꇏ,嘛
ꇖ,哈
ꇗ,助
ꇙ,达
ꇘ,海
ꇔ,待
ꇕ,托
ꂷ,除
ꂸ,写
ꂵ,绝
ꂶ,界
ꃂ,帝
ꈴ,姐
ꈵ,反
ꈲ,担
ꈳ,司
ꈾ,强
ꈿ,由
ꈽ,论
ꈱ,飞
ꈰ,亚
ꈻ,续
ꈼ,视
ꈹ,母
ꈺ,空
ꉂ,军
ꈷ,跑
ꈶ,阿
ꉃ,尽
ꉅ,注
ꉄ,弄
ꉀ,密
ꉁ,线
ꂰ,代
ꂳ,忙
ꂴ,坏
ꂲ,久
ꂱ,议
ꂮ,衣
ꂯ,血
ꂿ,钟
ꃀ,继
ꂽ,礼
ꂾ,数
ꃅ,份
ꂻ,疯
ꂼ,平
ꂺ,止
ꃆ,十
ꃈ,拜
ꃃ,鬼
ꃄ,睡
ꃋ,啦
ꃌ,调
ꃉ,巴
ꆅ,兄
ꆆ,紧
ꆄ,站
ꁿ,品
ꁾ,英
ꁸ,罪
ꁻ,文
ꁹ,亮
ꁶ,抓
ꁷ,跳
ꂃ,联
ꂄ,混
ꂁ,便
ꂂ,狗
ꂇ,脑
ꂊ,业
ꂅ,歌
ꂆ,精
ꂋ,包
ꅗ,转
ꅠ,却
ꅡ,参
ꅟ,院
ꅓ,务
ꅖ,基
ꅔ,台
ꅑ,另
ꅒ,恩
ꅝ,书
ꅞ,统
ꅛ,风
ꅜ,况
ꅤ,四
ꅥ,黑
ꅧ,否
ꅦ,险
ꅣ,言
ꆏ,米
ꆐ,杰
ꆎ,校
ꉢ,幸
ꉣ,传
ꉠ,复
ꉡ,量
ꉬ,首
ꉭ,改
ꉫ,忘
ꉞ,术
ꉩ,局
ꉪ,客
ꉧ,假
ꉨ,永
ꉦ,维
ꉤ,岁
ꉥ,据
ꅿ,派
ꆂ,票
ꆃ,兰
ꆀ,恶
ꅽ,烦
ꐳ,取
ꐷ,游
ꐵ,糟
ꐶ,令
ꐴ,随
ꐱ,五
ꐲ,圣
ꐽ,式
ꐾ,探
ꐻ,嘴
ꐼ,毒
ꑀ,越
ꐺ,律
ꐹ,费
ꑃ,科
ꐿ,麻
ꑆ,简
ꑇ,易
ꑄ,流
ꑅ,治
ꆍ,唱
ꆊ,答
ꆋ,倒
ꎖ,划
ꎗ,控
ꎔ,味
ꎕ,区
ꎝ,漂
ꎞ,支
ꎛ,乎
ꎙ,录
ꎤ,考
ꎟ,超
ꎧ,拍
ꎪ,轻
ꎩ,连
ꎥ,往
ꎦ,组
ꆓ,满
ꆈ,造
ꆉ,弹
ꆖ,静
ꑌ,故
ꑐ,吸
ꑑ,喂
ꑎ,集
ꑏ,极
ꑍ,讲
ꑊ,块
ꑋ,趣
ꑗ,类
ꑘ,呀
ꑕ,戏
ꑖ,曾
ꑓ,容
ꑙ,步
ꋶ,投
ꋴ,化
ꋽ,未
ꋼ,束
ꋯ,醒
ꋲ,威
ꋰ,班
ꋭ,终
ꋮ,差
ꋻ,梦
ꋺ,赢
ꌂ,药
ꌁ,迪
ꋾ,店
ꌅ,丽
ꌆ,卖
ꌈ,显
ꌇ,监
ꌃ,图
ꌄ,半
ꀑ,语
ꀒ,付
ꀏ,热
ꀐ,排
ꁁ,楚
ꁂ,偷
ꀿ,敢
ꁀ,油
ꀺ,餐
ꀽ,破
ꀻ,杯
ꀸ,市
ꀹ,城
ꁈ,哇
ꁉ,权
ꁆ,某
ꁇ,激
ꁌ,立
ꁍ,程
ꁏ,伊
ꁎ,讨
ꁊ,责
ꁋ,昨
ꁒ,闭
ꁓ,庭
ꁕ,落
ꁐ,饭
ꏾ,林
ꐂ,换
ꐀ,及
ꏿ,船
ꏼ,争
ꏽ,猜
ꐊ,级
ꐋ,姆
ꐈ,雷
ꐉ,刻
ꐎ,建
ꐆ,团
ꐇ,王
ꐅ,惊
ꐏ,迎
ꐑ,段
ꐍ,标
ꐔ,检
ꐕ,各
ꐗ,义
ꐖ,百
ꐒ,民
ꐓ,功
ꏈ,唯
ꏆ,夜
ꏇ,示
ꏒ,靠
ꏓ,释
ꏑ,脸
ꏏ,引
ꏍ,择
ꍽ,疑
ꎆ,赶
ꎇ,俩
ꎄ,独
ꎅ,冷
ꎂ,妹
ꎃ,楼
ꎁ,皮
ꎊ,存
ꍿ,练
ꎍ,娘
ꎌ,顿
ꎐ,断
ꎑ,设
ꎓ,松
ꎒ,博
ꎎ,置
ꎏ,逃
ꏋ,观
ꏗ,痛
ꏜ,狂
ꏝ,足
ꏟ,码
ꏞ,恐
ꏚ,吉
ꏛ,历
ꌒ,慢
ꌐ,妻
ꌑ,山
ꌜ,普
ꌝ,价
ꌛ,元
ꎭ,角
ꎮ,怀
ꎫ,床
ꎬ,奥
ꎸ,模
ꎹ,验
ꎶ,索
ꎷ,街
ꎴ,呼
ꎵ,祝
ꎲ,料
ꎳ,休
ꎼ,灵
ꎰ,狱
ꎽ,剧
ꎿ,乱
ꎾ,展
ꎺ,板
ꎻ,承
ꏂ,则
ꏃ,顾
ꏅ,深
ꏄ,产
ꏀ,洗
ꏁ,政
ꌋ,迷
ꌎ,领
ꌏ,午
ꌍ,纳
ꌌ,谎
ꌉ,具
ꌊ,退
ꌙ,福
ꌚ,习
ꌗ,秘
ꌘ,奶
ꌳ,遇
ꌱ,职
ꌲ,架
ꌺ,即
ꌻ,挺
ꌹ,史
ꌬ,负
ꌭ,千
ꌫ,脱
ꌷ,瑞
ꌸ,背
ꌵ,仅
ꌶ,追
ꌾ,伦
ꌿ,炸
ꌼ,资
ꌽ,画
ꍂ,踪
ꍃ,射
ꍅ,弃
ꍀ,傻
ꍁ,藏
ꌠ,屁
ꌕ,瞧
ꌡ,修
ꌣ,尸
ꌢ,闻
ꌞ,共
ꌟ,懂
ꌦ,蒂
ꌧ,危
ꌩ,专
ꌨ,呆
ꌤ,介
ꌥ,萨
ꄣ,魔
ꄤ,急
ꄡ,碰
ꄮ,甚
ꄯ,糕
ꄭ,苦
ꄜ,念
ꄟ,适
ꄠ,华
ꄞ,冲
ꄝ,骗
ꄚ,厌
ꄛ,型
ꄫ,麦
ꄬ,似
ꄩ,红
ꄲ,值
ꄧ,脚
ꄳ,六
ꄵ,谋
ꄴ,套
ꄰ,凯
ꄱ,众
ꀍ,预
ꀎ,际
ꀌ,咱
ꃬ,波
ꃭ,卫
ꃪ,聊
ꃫ,养
ꃲ,导
ꃤ,虑
ꃨ,私
ꃧ,戴
ꃥ,毁
ꃢ,鱼
ꃣ,滚
ꃰ,志
ꃱ,杂
ꃮ,居
ꃯ,词
ꃶ,食
ꃷ,诺
ꃹ,读
ꃸ,误
ꃴ,撒
ꃵ,突
ꃼ,牛
ꃺ,馆
ꃻ,规
ꊂ,陪
ꊃ,州
ꊀ,肉
ꊁ,形
ꊋ,凶
ꊌ,森
ꊊ,商
ꊈ,纪
ꊉ,浪
ꊇ,石
ꀕ,顺
ꊅ,举
ꊆ,按
ꑟ,旅
ꑣ,努
ꑤ,坚
ꑡ,测
ꑢ,免
ꑠ,喔
ꑝ,丝
ꑞ,辆
ꑩ,乔
ꑪ,防
ꑭ,句
ꑮ,印
ꑰ,恋
ꑫ,弗
ꑬ,季
ꑳ,严
ꑷ,推
ꑸ,伯
ꑵ,莉
ꑶ,武
ꑴ,胜
ꑱ,毛
ꑲ,压
ꑿ,败
ꒀ,究
ꑽ,评
ꑾ,屋
ꒃ,双
ꑻ,牙
ꑼ,斗
ꑹ,鸡
ꑺ,审
ꒄ,南
ꒆ,速
ꒅ,蠢
ꒂ,丈
ꒉ,守
ꒊ,获
ꒌ,八
ꒋ,致
ꒇ,细
ꒈ,勒
ꊖ,称
ꊗ,塔
ꊔ,丢
ꊕ,冰
ꊡ,态
ꊟ,吓
ꍈ,古
ꍆ,亡
ꍇ,状
ꍓ,鲁
ꍔ,疗
ꍑ,操
ꍒ,遗
ꍏ,判
ꍍ,响
ꍗ,网
ꍋ,箱
ꍚ,货
ꍕ,围
ꍖ,签
ꍝ,牌
ꍞ,户
ꍠ,寻
ꍟ,质
ꍛ,供
ꊏ,奖
ꊒ,袋
ꊑ,胡
ꊐ,脏
ꊎ,堂
ꊝ,曼
ꊛ,效
ꊜ,露
ꊤ,替
ꊙ,娜
ꊘ,座
ꊥ,园
ꊧ,拥
ꊢ,睛
ꊪ,冒
ꊫ,甜
ꊭ,股
ꊬ,香
ꊨ,笔
ꊩ,沙
ꋚ,扰
ꋘ,挑
ꋙ,姑
ꋠ,爆
ꋟ,镇
ꋒ,暴
ꋖ,困
ꋓ,项
ꋐ,概
ꋑ,摩
ꋜ,虽
ꋤ,纽
ꋦ,享
ꋥ,配
ꋩ,迹
ꋪ,登
ꋬ,诞
ꋫ,竟
ꋧ,叔
ꋨ,捕